"Slug","Overall Status","Status Code Match","Canonical Match","Robots Match","OG URL Match","Title Match","Meta Description Match","OG Title Match","OG Description Match","Title Length (Prod)","Title Length (UAT)","Meta Length (Prod)","Meta Length (UAT)","Schema Exists (Prod)","Schema Exists (UAT)","Schema Headline Match","Schema Description Match","Date Published Match","Date Modified Match","Author Match","H1 Match","H1 Count Valid","H2 Count (Prod)","H2 Count (UAT)","H3 Count (Prod)","H3 Count (UAT)","Word Count (Prod)","Word Count (UAT)","Word Difference %","Similarity %","Similarity >= 95","Image Count (Prod)","Image Count (UAT)","Missing Alt (Prod)","Missing Alt (UAT)","Internal Links (Prod)","Internal Links (UAT)","External Links (Prod)","External Links (UAT)"
"covid19-the-three-phases-of-recovery-in-manufacturing","FAIL","PASS","PASS","PASS","PASS","PASS","FAIL","PASS","FAIL","63","63","346","54","PASS","PASS","PASS","FAIL","FAIL","FAIL","PASS","PASS","PASS","0","0","11","12","1284","1284","0.00","100.00","PASS","0","0","0","0","0","0","0","0"
"evolution-of-safety-gumboots-in-workplace-safety-a-comprehensive-guide","FAIL","PASS","PASS","PASS","PASS","PASS","FAIL","PASS","FAIL","60","60","158","153","PASS","PASS","PASS","FAIL","FAIL","FAIL","PASS","PASS","PASS","0","0","11","12","696","696","0.00","99.96","PASS","0","0","0","0","0","0","0","0"
"common-types-of-safety-audits-what-are-they","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","87","87","76","76","PASS","PASS","PASS","PASS","FAIL","FAIL","PASS","PASS","PASS","0","0","11","12","672","656","2.38","97.32","PASS","0","0","0","0","2","0","0","2"
"rethinking-procurement-how-e-procurement-solutions-outshine-traditional-erps","FAIL","PASS","PASS","PASS","PASS","FAIL","FAIL","FAIL","FAIL","96","78","384","78","PASS","PASS","PASS","FAIL","FAIL","FAIL","PASS","PASS","PASS","2","2","11","11","579","579","0.00","99.98","PASS","2","2","2","2","2","0","3","5"
"top-10-industrial-mro-procurement-suppliers-and-companies-in-india-2026-focusing-on-moglix-b2b-procurement-player","FAIL","PASS","PASS","PASS","PASS","FAIL","FAIL","FAIL","FAIL","132","114","432","114","PASS","PASS","PASS","FAIL","FAIL","FAIL","PASS","PASS","PASS","3","3","21","22","1084","1084","0.00","99.92","PASS","0","0","0","0","4","0","0","4"
"streamlining-procurement-the-power-of-p2p-automation","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","47","47","154","154","PASS","PASS","PASS","PASS","FAIL","FAIL","PASS","PASS","PASS","3","3","11","11","427","427","0.00","99.83","PASS","0","0","0","0","3","0","2","5"
"complete-guide-to-sustainability-in-procurement","FAIL","PASS","PASS","PASS","PASS","FAIL","FAIL","FAIL","FAIL","65","47","375","47","PASS","PASS","PASS","FAIL","FAIL","FAIL","PASS","PASS","PASS","0","0","11","11","463","463","0.00","99.94","PASS","0","0","0","0","1","0","3","4"
"top-5-advantages-e-procurement","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","64","64","113","113","PASS","PASS","PASS","PASS","FAIL","FAIL","PASS","PASS","PASS","0","0","11","12","356","356","0.00","99.96","PASS","0","0","0","0","0","0","0","0"
"reimagining-supply-chains-the-power-of-emerging-technologies","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","61","61","176","176","PASS","PASS","PASS","PASS","FAIL","FAIL","PASS","PASS","PASS","5","5","11","11","484","484","0.00","99.94","PASS","0","0","0","0","6","0","5","11"
"procurement-4-all-you-need-know","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","49","49","152","152","PASS","PASS","PASS","PASS","FAIL","FAIL","PASS","PASS","PASS","0","0","11","12","490","490","0.00","99.97","PASS","0","0","0","0","1","0","0","1"
"can-india-emerge-as-a-key-player-in-global-manufacturing","FAIL","PASS","PASS","PASS","PASS","PASS","FAIL","PASS","FAIL","66","66","169","164","PASS","PASS","PASS","FAIL","FAIL","FAIL","PASS","PASS","PASS","5","5","11","11","834","834","0.00","99.90","PASS","0","0","0","0","1","0","0","1"
